id,initiales,poste,annees_experience,diplome,certifications,langues
CV-01,C.Y.,Chef de projet,12,Ingénieur télécoms et réseaux,ITIL v4 / PMP,français / arabe
CV-02,E.Q.,Architecte technique,14,Master en cybersécurité,CISSP,français / arabe / anglais
CV-03,X.L.,Ingénieur de développement,12,Ingénieur d'État en informatique,PRINCE2 / CISSP / AWS Solutions Architect,français / arabe / anglais
CV-04,C.I.,Ingénieur qualité,11,Ingénieur télécoms et réseaux,PRINCE2,français / arabe / anglais
CV-05,X.X.,Ingénieur sécurité,7,Ingénieur télécoms et réseaux,PRINCE2 / AWS Solutions Architect,français / arabe
CV-06,R.T.,Data engineer,13,Master en systèmes d'information,TOGAF / PMP,français / arabe / anglais
CV-07,A.J.,Analyste métier,7,Ingénieur télécoms et réseaux,AWS Solutions Architect / PRINCE2 / CISSP,français / arabe / anglais
CV-08,J.B.,Ingénieur DevOps,9,Master en systèmes d'information,Scrum Master / CISSP,français / arabe / anglais
CV-09,T.Z.,Chef de projet,10,Ingénieur télécoms et réseaux,AWS Solutions Architect / ITIL v4,français / arabe / anglais
CV-10,V.U.,Architecte technique,16,Master en systèmes d'information,PRINCE2 / CISSP / PMP,français / arabe / anglais
CV-11,P.A.,Ingénieur de développement,14,Ingénieur d'État en informatique,ITIL v4,français / arabe / anglais
CV-12,H.R.,Ingénieur qualité,10,Ingénieur télécoms et réseaux,AWS Solutions Architect / TOGAF / Azure Administrator,français / arabe / anglais
CV-13,O.K.,Ingénieur sécurité,15,Master en systèmes d'information,PRINCE2,français / arabe / anglais
CV-14,L.R.,Data engineer,12,Master en cybersécurité,Scrum Master / AWS Solutions Architect / PMP,français / arabe / anglais
